,Song,Artist,Year,Genre-group,Lyrics
82,Some Nights,fun.,2012,pop,"Some nights I stay up cashing in my bad luck
Some nights I call it a draw
Some nights I wish that my lips could build a castle
Some nights I wish they'd just fall off But I still wake up, I still see your ghost
Oh, Lord, I'm still not sure what I stand for, oh (Oh-woah) What do I stand for?
(Oh-woah) What do I stand for?
Most nights I don't know anymore Oh, oh-woah, oh-whoah, oh
Oh, oh-woah, oh-whoah, oh This is it, boys, this is war, what are we waiting for?
Why don't we break the rules already?
I was never one to believe the hype
Save that for the black and white
I try twice as hard and I'm half as liked
But here they come again to jack my style That's alright (That's alright)
I found a martyr in my bed tonight
She stops my bones from wondering just who I am, who I am, who I am
Oh, who am I? Mmh, mmh Well, some nights I wish that this all would end
'Cause I could use some friends for a change
And some nights I'm scared you'll forget me again
Some nights I always win (I always win) But I still wake up, I still see your ghost
Oh, Lord, I'm still not sure what I stand for, oh (Oh-woah) What do I stand for?
(Oh-woah) What do I stand for?
Most nights I don't know (Oh, come on) So this is it, I sold my soul for this
Washed my hands and I died for this?
I miss my mom and dad for this? No (Come on) When I see stars, when I see, when I see stars
That's all they are, when I hear songs They sound like a swan, so come on (Oh, come on, oh, come on, oh, come on!) Well, that is it guys, that is all
Five minutes in and I'm bored again
Ten years of this, I'm not sure if anybody understands This one is not for the folks at home
Sorry to leave, mom, I had to go
Who the fuck wants to die alone all dried up in the desert sun? My heart is breaking for my sister and the con that she called love
When I look into my nephew's eyes
Man, you wouldn't believe the most amazing things
That can come from some terrible lies Oh, oh-woah, oh-whoah, oh
Oh, oh-woah, oh-whoah, oh The other night, you wouldn't believe the dream I just had about you and me
I called you up but we'd both agree It's for the best you didn't listen
It's for the best we get our distance, oh
It's for the best you didn't listen
It's for the best we get our distance, oh "
83,Boyfriend,Justin Bieber,2012,pop,"If I was your boyfriend, I'd never let you go
I can take you places you ain't never been before
Baby take a chance or you'll never ever know
I got money in my hands that I'd really like to blow
Swag swag swag, on you
Chillin by the fire while we eatin' fondue
I dunno about me but I know about you
So say hello to falsetto in three two I'd like to be everything you want
Hey girl, let me talk to you If I was your boyfriend, never let you go
Keep you on my arm girl, you'd never be alone
I can be a gentleman, anything you want
If I was your boyfriend, I'd never let you go,
I'd never let you go Tell me what you like yeah tell me what you don't
I could be your Buzz Lightyear fly across the globe
I don't never wanna fight yeah, you already know
I am 'ma a make you shine bright like you're laying in the snow
Girlfriend, girlfriend, you could be my girlfriend
You could be my girlfriend until the ** world ends
Make you dance do a spin and a twirl and
Voice goin crazy on this hook like a whirl wind
Swaggie I'd like to be everything you want
Hey girl, let me talk to you If I was your boyfriend, never let you go
Keep you on my arm girl you'd never be alone
I can be a gentleman, anything you want
If I was your boyfriend, I'd never let you go,
I'd never let you go So give me a chance, 'cause you're all I need girl
Spend a week with your boy I'll be calling you my girlfriend
If I was your man, I'd never leave you girl
I just want to love you, and treat you right If I was your boyfriend, never let you go
Keep you on my arm girl you'd never be alone
I can be a gentleman, anything you want
If I was your boyfriend, I'd never let you go,
never let you go Na na na, na na na, na na na
Ya girl
Na na na, na na na, na na na ey
Na na na, na na na, na na na ey
Na na na, na na na, na na na ey If I was your boyfriend "
84,Part Of Me,Katy Perry,2012,pop,"Days like this I want to drive away
Pack my bags and watch your shadow fade
You chewed me up and spit me out
Like I was poison in your mouth
You took my light, you drained me down
But that was then and this is now
Now look at me
This is the part of me
That you're never gonna ever take away from me, no
This is the part of me
That you're never gonna ever take away from me, no
Throw your sticks and your stones,
Throw your bombs and your blows But you're not gonna break my soul
This is the part of me
That you're never gonna ever take away from me, no
I just wanna throw my phone away
Find out who is really there for me
You ripped me off, your love was cheap
Was always tearing at the seams
I fell deep, you let me down
But that was then and this is now
Now look at me
This is the part of me
That you're never gonna ever take away from me, no This is the part of me That you're never gonna ever take away from me, no
Throw your sticks and your stones,
Throw your bombs and your blows
But you're not gonna break my soul
This is the part of me
That you're never gonna ever take away from me, no
Now look at me I'm sparkling A firework, a dancing flame
You won't never put me out again I'm glowin', oh, whoa
So you can keep the diamond ring
It don't mean nothing anyway In fact you can keep everything, yeah, yeah,
Except for me
This is the part of me
That you're never gonna ever take away from me, no
This is the part of me
That you're never gonna ever take away from me, no
Throw your sticks and your stones,
Throw your bombs and your blows
But you're not gonna break my soul
This is the part of me
That you're never gonna ever take away from me, no
This is the part of me, no
Away from me, no
This is the part of me, me, me, me, me, me, me, me..., no
Throw your sticks and your stones,
Throw your bombs and your blows
But you're not gonna break my soul
This is the part of me
That you're never gonna ever take away from me, no "
85,Domino,Jessie J,2012,pop,"I'm feeling sexy and free
Like glitter's raining on me
You like a shot of pure gold
I think I'm 'bout to explode I can taste the tension like a cloud of smoke in the air
Now I'm breathing like I'm running cause you're taking me there
Don't you know
you spin me out of control We can do this all night
Turn this club, skin tight
Baby, come on! Pull me like a bass drum
Sparkin' up a rhythm
Baby, come on! Rock my world into the sunlight
Make this dream the best I've ever known
Dirty dancing in the moonlight
Take me down like I'm a domino Every second is a highlight
When we touch don't ever let me go
Dirty dancing in the moonlight
Take me down like I'm a domino You got me loosing my mind
My heart beats out of time
I'm seeing Hollywood stars
You stroke me like a guitar I can taste the tension like a cloud of smoke in the air
Now I'm breathing like I'm running cause you're taking me there Don't you know... you spin me out of control We can do this all night
Turn this club, skin tight
Baby, come on! Pull me like a bass drum
Sparkin' up a rhythm
Baby, come on! Rock my world into the sunlight
Make this dream the best I've ever known
Dirty dancing in the moonlight
Take me down like I'm a domino Every second is a highlight
When we touch don't ever let me go
Dirty dancing in the moonlight
Take me down like I'm a domino Ooh baby baby got me feeling so right
Ooh baby baby dancing in the moonlight
Ooh baby baby got me feeling so right
Ooh baby baby dancing in the moonlight
Ooh baby baby got me feeling so right
Ooh baby baby dancing in the moonlight
Rock my world into the sunlight
Make this dream the best I've ever known
Dirty dancing in the moonlight
Take me down like I'm a domino
Every second is a highlight
When we touch don't ever let me go
Dirty dancing in the moonlight
Take me down like I'm a domino "
86,Where Have You Been,Rihanna,2012,pop,"I've been everywhere, man
Looking for someone
Someone who can please me
Love me all night long I've been everywhere, man
Looking for you, babe
Looking for you, babe
Searching for you, babe Where have you been?
'Cause I never see you out
Are you hiding from me, yeah?
Somewhere in the crowd Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah Where have you been?
All my life, all my life Where have you been all my life?
Where have you been all my life?
Where have you been all my life?
Where have you been all my life? I've been everywhere, man
Looking for someone
Someone who can please me
Love me all night long I've been everywhere, man
Looking for you, babe
Looking for you, babe
Searching for you, babe Where have you been?
'Cause I never see you out
Are you hiding from me, yeah?
Somewhere in the crowd? Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah Where have you been?
All my life, all my life Where have you been all my life?
Where have you been all my life?
Where have you been all my life?
Where have you been all my life? Where have you been all my life? You can have me all you want
Anyway, anyday
Just show me where you are tonight Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah I've been everywhere, man
Looking for someone
Someone who can please me
Love me all night long I've been everywhere, man
Looking for you, babe
Looking for you, babe
Searching for you, babe "
87,Wide Awake,Katy Perry,2012,pop,"I'm wide awake
I'm wide awake I'm wide awake
Yeah, I was in the dark
I was falling hard
With an open heart
I'm wide awake
How did I read the stars so wrong?
I'm wide awake
And now it's clear to me
That everything you see
Ain't always what it seems
I'm wide awake
Yeah, I was dreaming for so long I wish I knew then
What I know now
Wouldn't dive in
Wouldn't bow down
Gravity hurts
You made it so sweet
'Til I woke up on
On the concrete Falling from cloud nine
Crashing from the high
I'm letting go tonight
Yeah, I'm falling from cloud nine I'm wide awake
Not losing any sleep
I picked up every piece
And landed on my feet
I'm wide awake
Need nothing to complete myself, no I'm wide awake
Yeah, I am born again
Out of the lion's den
I don't have to pretend
And it's too late
The story's over now, the end I wish I knew then
What I know now
Wouldn't dive in
Wouldn't bow down
Gravity hurts
You made it so sweet
'Til I woke up on
On the concrete Falling from cloud nine
(It was out of the blue, I'm)
Crashing from the high
I'm letting go tonight
(Yeah, I'm letting you go)
I'm falling from cloud nine I'm wide awake
Thunder rumbling
Castles crumbling
I'm wide awake
I am trying to hold on
I'm wide awake
God knows that I tried
Seeing the bright side
I'm wide awake
I'm not blind anymore I'm wide awake
I'm wide awake Yeah, I'm falling from cloud nine
(It was out of the blue, I'm)
Crashing from the high
You know I'm letting go tonight
(Yeah, I'm letting you go, I'm)
I'm falling from cloud nine I'm wide awake
I'm wide awake
I'm wide awake
I'm wide awake
I'm wide awake "
88,The One That Got Away,Katy Perry,2012,pop,"Summer after high school when we first met
We make-out in your Mustang to Radiohead
And on my 18th Birthday
We got matching tattoos
Used to steal your parents' liquor And climb to the roof
Talk about our future
Like we had a clue
Never planned that one day
I'd be losing you In another life
I would be your girl
We keep all our promises
Be us against the world
In another life
I would make you stay So I don't have to say
You were the one that got away
The one that got away
I was June and you were my Johnny Cash
Never one without the other We made a pact Sometimes when I miss you
I put those records on (whoa) Someone said you had your tattoo removed
Saw you downtown singing the Blues
It's time to face the music
I'm no longer your muse In another life
I would be your girl
We keep all our promises
Be us against the world
In another life
I would make you stay
So I don't have to say
You were the one that got away
The one that got away
The one, the one, the one
The one that got away
All this money can't buy me a time machine (No)
Can't replace you with a million rings (No)
I should told you what you meant to me (Whoa)
Cause now i pay the price
In another life
I would be your girl
We keep all our promises
Be us against the world
In another life
I would make you stay
So I don't have to say
You were the one that got away
The one that got away
The one, the one, the one
In another life
I would make you stay
So I don't have to say
You were the one that got away
The one that got away "
89,Dance Again,Jennifer Lopez,2012,pop,"Dance, yes (RedOne)
Love, next
Dance, yes (J. Lo)
Love, next Shimmy shimmy yah, shimmer yam
Shimmer yay
I'm a ol' dirty dog all day
No way Jose
Your girl only go one way, ay mi madre
You should check that out
Maybe you ain't turn her out
Maybe it's none of my business
But for now work it out
Let's get this, dale Nobody knows what I'm feeling inside
I find it so stupid
So why should I hide
That I love to make love to you baby
(Yeah make love to me)
So many ways wanna touch you tonight
I'm a big girl got no secrets this time
Yeah I love to make love to you baby
(Yeah make love to me) If this would be a perfect world
We'd be together then
(Let's do it, do it, do it)
Only got just one life this I've learned
Who cares what they're gonna say?
(Let's do it, do it, do it) I wanna dance, and love, and dance again
I wanna dance, and love, and dance again Dance, yes
Love, next
Dance, yes
Love, next Baby your fire is lighting me up
The way that you move boy is reason enough
That I love to make love to you baby
(Yeah make love to me) I can't behave
Oh I want you so much
Your lips taste like Heaven
So why should I stop?
Yeah I love to make love to you baby
(Yeah make love to me) If this would be a perfect world
We'd be together then
(Let's do it, do it, do it)
Only got just one life this I've learned
Who cares what they're gonna say?
(Let's do it, do it, do it) I wanna dance, and love, and dance again
I wanna dance, and love, and dance again Mr Worldwide, and the world's most beautiful woman
Modern day Hugh Hef (uh, yes)
Playboy to the death (uh, yes)
Is he really worldwide? (uh, yes)
Mami let me open your treasure chest
Play dates, we play mates
I'm the king snatching queens, checkmate
What you think?
It's a rumor
I'm really out of this world
Moon, luna
Make woman comfortable
Call me bloomer
Can't even show love cause they'll sue ya
But I told them, hallelujah, have a blessed day
So ahead of myself
Everyday's yesterday
Want the recipe? it's real simple
Little bit of vole, and she'll open sesame
Now dance, yes
Love, next
Dance, yes
Love, next
If this would be a perfect world
We'd be together then
(Let's do it, do it, do it)
Only got just one life this I've learned
Who cares what they're gonna say?
(Let's do it, do it, do it)
I wanna dance, and love, and dance again
I wanna dance, and love, and dance again "
90,Turn Up the Music,Chris Brown,2012,pop,"Turn up the music, cause this song just came on
Turn up the music, if they try to turn us down
Turn up the music, can I hear it til the speakers blow
Turn up the music, fill your cup and drink it down
If you're sexy and you know it put your hands up in the air
Put your hands up in the air, girl, put your hands up
If you're sexy and you know it put your hands up in the air
Put your hands up in the air, girl, put your hands up Turn up the music (just turn it up louder)
Turn up the music (I need it in my life, yeah)
Turn up the music (just turn it up louder)
Turn up the music (I need it in my life, yeah)
Woah-oh-oh-oh-oh-oh-oh-ohhh
Woah-oh-oh-oh-oh-oh-oh-oh-ohhh (turn up the music)
Woah-oh-oh-oh-oh-oh-oh-ohhh
Woah-oh-oh-oh-oh-oh-oh-oh-ohhh (turn up the music) T-t-turn up the music
T-turn up the Turn up the music, cause I feel a little turned on
Turn up the music, don't you try to turn me down
Turn up the music, and I feel just a little more
Turn up the music, turn me down
If you're sexy and you know it put your hands up in the air
Put your hands up in the air, girl, put your hands up
If you're sexy and you know it put your hands up in the air
Put your hands up in the air, girl, put your hands up Turn up the music (Just turn it up louder)
Turn up the music (I need it in my life, yeah)
Turn up the music (Just turn it up louder)
Turn up the music (I need it in my life, yeah)
Woah-oh-oh-oh-oh-oh-oh-ohhh
Woah-oh-oh-oh-oh-oh-oh-oh-ohhh (turn up the music)
Woah-oh-oh-oh-oh-oh-oh-ohhh
Woah-oh-oh-oh-oh-oh-oh-oh-ohhh (turn up the music) T-t-turn up the music
T-turn up the Save my life (just dance with me)I can see it in your eyes, babyYou wanted beats from me to youSo let's do it tonightAnd do whatever it takes to make it right
Just turn it up Just turn it up
Just turn it up Just turn it up
Just turn it up Just turn it up
Just turn it up Just turn it up
I love you baby Turn up the music, just turn it up louder
Turn up the music, I need it in my life, yeah
Turn up the music, just turn it up loud
Turn up the music, I need it in my life, yeah
Oh, oh, oh, oh
Turn up the music
Oh, oh, oh, oh
Turn up the music Turn it up
Turn it up
Turn it up
Turn it up
Turn it up
Turn up the music "
91,Lights - Single Version,Ellie Goulding,2012,pop,
92,Diamonds,Rihanna,2012,pop,"Shine bright like a diamond
Shine bright like a diamond Find light in the beautiful sea, I choose to be happy
You and I, you and I, we're like diamonds in the sky
You're a shooting star I see, a vision of ecstasy
When you hold me, I'm alive, we're like diamonds in the sky I knew that we'd become one right away, oh, right away
At first sight I felt the energy of sun rays
I saw the life inside your eyes So shine bright tonight, you and I
We're beautiful like diamonds in the sky
Eye to eye, so alive
We're beautiful like diamonds in the sky Shine bright like a diamond (Whoa-oh)
Shine bright like a diamond (Whoa-oh)
Shining bright like a diamond
We're beautiful like diamonds in the sky Shine bright like a diamond (Whoa-oh)
Shine bright like a diamond (Whoa-oh)
Shining bright like a diamond
We're beautiful like diamonds in the sky Palms rise to the universe, as we moonshine and molly
Feel the warmth, we'll never die, we're like diamonds in the sky
You're a shooting star I see, a vision of ecstasy
When you hold me, I'm alive, we're like diamonds in the sky At first sight I felt the energy of sun rays
I saw the life inside your eyes So shine bright tonight, you and I
Wewre beautiful like diamonds in the sky
Eye to eye, so alive
We're beautiful like diamonds in the sky Shine bright like a diamond (Whoa-oh)
Shine bright like a diamond (Whoa-oh)
Shining bright like a diamond
We're beautiful like diamonds in the sky Shine bright like a diamond (Whoa-oh)
Shine bright like a diamond (Whoa-oh)
Shining bright like a diamond
We're beautiful like diamonds in the sky Shine bright like a diamond
Shine bright like a diamond
Shine bright like a diamond So shine bright, tonight, you and I
We're beautiful like diamonds in the sky
Eye to eye, so alive
We're beautiful like diamonds in the sky Shine bright like a diamond (Whoa-oh)
Shine bright like a diamond (Whoa-oh)
Shine bright like a diamond (Whoa, yeah) Shine bright like a diamond (Whoa-oh)
Shine bright like a diamond (Whoa-oh)
Shine bright like a diamond
Shine bright like a diamond "
93,You Da One,Rihanna,2012,pop,"You da one that I dream about all day
You da one that I think about always
You are the one, so I make sure I'll behave
My love is your love, your love is my love... Baby, I love you I need you here with me all the time...
Baby, we meant to be
You got me smiling all the time... Cause you know how to give me that
You know how to pull me back when I go runnin', runnin'
Tryna get away from loving ya
You know how to love me hard
I won't lie, I'm falling hard
Yep, I'm falling for ya but there's nothin' wrong with that You da one that I dream about all day...
You da one that I think about always...
You are the one, so I make sure I'll behave...
My love is your love, your love is my love... You da one that I dream about all day...
You da one that I think about always...
You are the one, so I make sure I'll behave...
My love is your love, your love is mine... Baby come, take me now
Hold me now, make me come alive...
You got the sweetest touch
I'm so happy you came in my life... Cause you know how to give me that
You know how to pull me back when I go runnin', runnin'
Tryna get away from loving ya
You know how to love me hard
I won't lie, I'm falling hard
Yep, I'm falling for ya but there's nothin' wrong with that You da one that I dream about all day...
You da one that I think about always...
You are the one, so I make sure I'll behave...
My love is your love, your love is my love... You da one that I dream about all day...
You da one that I think about always...
You are the one, so I make sure I'll behave...
My love is your love, your love is mine... And yes, I'm kinda crazy
That's what happens, baby
When you put it down
You shouldn't give it to me good like that
Shouldn't hit it like that
Had me yellin' like that
Didn't know you would've had me coming back You the one that I'm feeling
You the one that I'm loving
Ain't no other niggas like
(You) No, there's just one, one, one, one, one, one
No baby, just one... one, one, one
I bet you wanna (Know) You da one that I dream about all day...
You da one that I think about always...
You are the one, so I make sure I'll behave...
My love is your love, your love is my love... You da one that I dream about all day...
You da one that I think about always...
You are the one, so I make sure I'll behave...
My love is your love, your love is mine... "
94,It Will Rain,Bruno Mars,2012,pop,"If you ever leave me, baby,
Leave some morphine at my door
'Cause it would take a whole lot of medication
To realize what we used to have,
We don't have it anymore. There's no religion that could save me
No matter how long my knees are on the floor
So keep in mind all the sacrifices I'm making
To keep you by my side
To keep you from walkin' out the door. 'Cause there'll be no sunlight
If I lose you, baby
There'll be no clear skies
If I lose you, baby
Just like the clouds
My eyes will do the same, if you walk away
Everyday it'll rain, rain, ra-a-a-ain I'll never be your mother's favorite
Your daddy can't even look me in the eye
Ooh, if I was in their shoes, I'd be doing the same thing
Sayin' ""There goes my little girl
Walkin' with that troublesome guy"" But they're just afraid of something they can't understand
Ooh, but little darlin' watch me change their minds
Yeah for you I'll try, I'll try, I'll try, I'll try
And pick up these broken pieces 'til I'm bleeding
If that'll make you mine 'Cause there'll be no sunlight
If I lose you, baby
There'll be no clear skies
If I lose you, baby
Just like the clouds
My eyes will do the same, if you walk away
Everyday it'll rain, rain, ra-a-a-ain Oh, don't you say (don't you say) goodbye (goodbye),
Don't you say (don't you say) goodbye (goodbye)
I'll pick up these broken pieces 'til I'm bleeding
If that'll make it right 'Cause there'll be no sunlight
If I lose you, baby
There'll be no clear skies
If I lose you, baby
And just like the clouds
My eyes will do the same, if you walk away
Everyday it'll rain, rain, ra-a-a-ain "
95,Underneath the Tree,Kelly Clarkson,2013,pop,"You're here where you should be
Snow is falling as the caroles sing
It just wasn't the same
Alone on Christmas day
Presents, what a beautiful sight
Don't mean a thing if you ain't holding me tight You're all that I need
Underneath the tree
Tonight I'm gonna hold you close
Make sure that you know
I was lost before you
Christmas was cold and grey
Another holiday alone to celebrate
But then one day everything changed
You're all I need
Underneath the tree You're here where you should be
Snow is falling as the caroles sing
It just wasn't the same
Alone on Christmas day
Presents, what a beautiful sight
Don't mean a thing if you ain't holding me tight
You're all that I need
Underneath the tree
I found what I was looking for A love that's meant for me
A heart that's mine completely
Knocked me right off my feet
And this year I will fall
With no worries at all
'Cause you are near and everything's clear
You're all I need
Underneath the tree
You're here where you should be
Snow is falling as the caroles sing
It just wasn't the same
Alone on Christmas day
Presents, what a beautiful sight
Don't mean a thing if you ain't holding me tight
You're all that I need
Underneath the tree
And then one day everything changed
You're all I need
Underneath the tree
You're here where you should be
Snow is falling as the caroles sing
It just wasn't the same
Alone on Christmas day
Presents, what a beautiful sight
Don't mean a thing if you ain't holding me tight
You're all that I need
Underneath the tree
Tonight "
96,Wake Me Up,Avicii,2013,house,"Feeling my way through the darkness
Guided by a beating heart
I can't tell where the journey will end
But I know where to start They tell me I'm too young to understand
They say I'm caught up in a dream
Well, life will pass me by if I don't open up my eyes
Well, that's fine by me So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself, and I
Didn't know I was lost So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself, and I
Didn't know I was lost I tried carrying the weight of the world
But I only have two hands
Hope I get the chance to travel the world
But I don't have any plans Wish that I could stay forever this young
Not afraid to close my eyes
Life's a game made for everyone
And love is the prize So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself, and I
Didn't know I was lost So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself, and I
I didn't know I was lost I didn't know I was lost
I didn't know I was lost
I didn't know I was lost
I didn't know, didn't know, didn't know "
97,Story of My Life,One Direction,2013,boy band,"Written in these walls are the stories that I can't explain
I leave my heart open but it stays right here empty for days She told me in the morning she don't feel the same about us in her bones
It seems to me that when I die these words will be written on my stone And I'll be gone gone tonight
The ground beneath my feet is open wide
The way that I been holdin' on too tight
With nothing in between The story of my life I take her home
I drive all night to keep her warm and time
Is frozen (the story of, the story of)
The story of my life I give her hope
I spend her love until she's broke inside
The story of my life (the story of, the story of) Written on these walls are the colors that I can't change
Leave my heart open but it stays right here in its cage I know that in the morning now
I'll see us in the light upon a hill
Although I am broken, my heart is untamed still And I'll be gone gone tonight
The fire beneath my feet is burning bright
The way that I been holdin' on so tight
With nothing in between The story of my life I take her home
I drive all night to keep her warm and time
Is frozen (the story of, the story of)
The story of my life I give her hope
I spend her love until she's broke inside
The story of my life (the story of, the story of) And I been waiting for this time to come around
But baby running after you is like chasing the clouds The story of my life I take her home
I drive all night to keep her warm and time
is frozen
The story of my life I give her hope (give her hope)
I spend her love until she's broke inside (until she's broke inside)
The story of my life (the story of, the story of)
The story of my life
The story of my life (the story of, the story of)
The story of my life "
98,Hall of Fame,The Script,2013,rock,"Yeah, You could be the greatest
You can be the best
You can be the king kong banging on your chest You could beat the world
You could beat the war
You could talk to God, go banging on his door You can throw your hands up
You can be the clock
You can move a mountain
You can break rocks
You can be a master
Don't wait for luck
Dedicate yourself and you can find yourself Standing in the hall of fame
And the world's gonna know your name yeah
Cause you burn with the brightest flame yeah
And the world's gonna know your name yeah
And you'll be on the walls of the hall of fame You could go the distance
You could run the mile
You could walk straight through hell with a smile You could be the hero
You could get the gold
Breaking all the records that thought never could be broke Do it for your people
Do it for your pride
Never gonna know if you never even try Do it for your country
Do it for name
Cause there's gonna be a day When your, standing in the hall of fame
And the world's gonna know your name
Cause you burn with the brightest flame
And the world's gonna know your name
And you'll be on the walls of the hall of fame Be a champion, Be a champion, Be a champion, Be a champion On the walls of the hall of fame Be students
Be teachers
Be politicians
Be preachers Be believers
Be leaders
Be astronauts
Be champions
Be true seekers Be students
Be teachers
Be politicians
Be preachers Be believers
Be leaders
Be astronauts
Be champions Standing in the hall of fame
And the world's gonna know your name
Cause you burn with the brightest flame
And the world's gonna know your name
And you'll be on the walls of the hall of fame (You can be a champion)
You could be the greatest
(You can be a champion)
You can be the best
(You can be a champion)
You can be the king kong banging on your chest (You can be a champion)
You could beat the world
(You can be a champion)
You could beat the war
(You can be a champion)
You could talk to God, go banging on his door (You can be a champion)
You can throw your hands up
(You can be a champion)
You can be the clock
(You can be a champion)
You can move a mountain
(You can be a champion)
You can break rocks (You can be a champion)
You can be a master
(You can be a champion)
Don't wait for luck
(You can be a champion)
Dedicate yourself and you can find yourself
(You can be a champion) Standing in the hall of fame "
99,Roar,Katy Perry,2013,pop,"I used to bite my tongue and hold my breath
Scared to rock the boat and make a mess
So I sat quietly
Agreed politely I guess that I forgot I had a choice
I let you push me past the breaking point
I stood for nothing
So I fell for everything You held me down, but I got up
Already brushing off the dust
You hear my voice, You hear that sound
Like thunder gonna shake the ground
You held me down, but I got up
Get ready 'cause I've had enough
I see it all, I see it now I got the eye of the tiger, a fighter,
dancing through the fire
Cause I am a champion and
You're gonna hear me ROAR
Louder, louder than a lion
Cause I am a champion and
You're gonna hear me ROAR
Oh oh oh oh oh oh
You're gonna hear me roar Now I'm floating like a butterfly
Stinging like a bee I earned my stripes
I went from zero, to my own hero You held me down, but I got up
Already brushing off the dust
You hear my voice, You hear that sound
Like thunder gonna shake the ground
You held me down, but I got up
Get ready 'cause I've had enough
I see it all, I see it now I got the eye of the tiger, a fighter,
dancing through the fire
Cause I am a champion and
You're gonna hear me ROAR
Louder, louder than a lion
Cause I am a champion and
You're gonna hear me ROAR
Oh oh oh oh oh oh
You're gonna hear me roar Roar-or, roar-or, roar-or I got the eye of the tiger, a fighter,
dancing through the fire
Cause I am a champion and
You're gonna hear me ROAR
Louder, louder than a lion
Cause I am a champion and
You're gonna hear me ROAR
Oh oh oh oh oh oh
You're gonna hear me roar "
100,Wrecking Ball,Miley Cyrus,2013,pop,"We clawed, we chained our hearts in vain
We jumped, never asking why
We kissed, I fell under your spell
A love no one could deny Don't you ever say I just walked away
I will always want you
I can't live a lie, running for my life
I will always want you I came in like a wrecking ball
I never hit so hard in love
All I wanted was to break your walls
All you ever did was wreck me
Yeah you, you wreck me I put you high up in the sky
And now, you're not coming down
It slowly turned, you let me burn
And now, we're ashes on the ground Don't you ever say I just walked away
I will always want you
I can't live a lie, running for my life
I will always want you I came in like a wrecking ball
I never hit so hard in love
All I wanted was to break your walls
All you ever did was wreck me
I came in like a wrecking ball
Yeah, I just closed my eyes and swung
Left me crashing in a blazing fall
All you ever did was wreck me
Yeah you, you wreck me I never meant to start a war
I just wanted you to let me in
And instead of using force
I guess I should've let you in
I never meant to start a war
I just wanted you to let me in
I guess I should've let you win Don't you ever say I just walked away
I will always want you I came in like a wrecking ball
I never hit so hard in love
All I wanted was to break your walls
All you ever did was wreck me
I came in like a wrecking ball
Yeah, I just closed my eyes and swung
Left me crashing in a blazing fall
All you ever did was wreck me
Yeah you, you wreck me
Yeah you, you wreck me "
101,Impossible,James Arthur,2013,pop,"I remember years ago
Someone told me I should take
Caution when it comes to love
I did And you were strong and I was not
My illusion, my mistake
I was careless, I forgot
I did And now when all is done
There is nothing to say
You have gone and so effortlessly
You have won
You can go ahead tell them Tell them all I know now
Shout it from the roof tops
Write it on the sky line
All we had is gone now
Tell them I was happy
And my heart is broken
All my scars are open
Tell them what I hoped would be
Impossible, impossible
Impossible, impossible Falling out of love is hard
Falling for betrayal is worse
Broken trust and broken hearts
I know, I know... Thinking all you need is there
Building faith on love and words
Empty promises will wear
I know, I know... And now when all is done
There is nothing to say And if you're done with embarrassing me
On your own you can go ahead tell them Tell them all I know now
Shout it from the roof tops
Write it on the sky line
All we had is gone now
Tell them I was happy
And my heart is broken
All my scars are open
Tell them what I hoped would be
Impossible, impossible
Impossible, impossible I remember years ago
Someone told me I should take
Caution when it comes to love
I did Tell them all I know now
Shout it from the roof tops
Write it on the sky line
All we had is gone now Tell them I was happy
And my heart is broken
Oh, oh, oh, oh, oh, oh, hoped would be
Impossible, impossible
Impossible, impossible
Impossible, impossible
Impossible, impossible "
