,Unnamed: 0,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,Rank,Lyrics
48,43,Hard,Rihanna,barbadian pop,2010,182,75,31,-4,65,16,251,1,11,57,49.0, yeah yeah yeah yeah yeah yeah yeah yeah yeah ah yeah yeah yeah ah yeah yeah yeah ah yeah yeah yeah ah yeah ah yeah ah yeah yeah ah yeah ah yeah ah yeah yeahthey can say whatever ima do whatever no pain is forever yup you know this tougher than a lion aint no need in tryin i live where the sky ends yup you know this never lyin truth teller that rihanna reign just wont let up all black on blacked out shades blacked out maybach ima rock this shit like fashion as in goin til they say stop and my runway never looked so clear but the hottest bitch in heels right here no fear and while you getting your cry on im getting my fly on sincere i see you aiming at my pedestal i betta let ya knowthat i i i im so hard so hard ah yeah yeah yeah im so hard too hard that i i i im so hardso hard ah yeah yeah yeah im so hard too hard that i i i im so hard so hard ah yeah yeah yeah im so hard too hard so hard so hard so hard so hardah yeah yeah yeah that rihanna reign just wont let up ah yeah yeah yeah that rihanna reign just wont let up ah yeah yeah yeah that rihanna reign just wont let up so hard so hard so hard so hardall up on it know you wanna clone it aint like me that chick too phony ride this beat beat beat like a pony meet me at the top top top gettin loaded who think they test me now run through your town i shut it down brilliant resilient fan mail from 27 million and i want it all its gonna take more than that hope that aint all you got i need it all the money the fame the cars the clothes i cant just let you run up on me like that all on me like that yeah i see you aiming at my pedestal so i think i gotta let ya knowthat i i i im so hard so hard ah yeah yeah yeah im so hard too hard that i i i im so hardso hard ah yeah yeah yeah im so hard too hard that i i i im so hard so hard ah yeah yeah yeah im so hard too hard so hard so hard so hard so hardgo hard or go home back to your residence soon the red dogs will give the block back to the presidents i used to run my own block like obama did you aint gotta believe me go ask my momma then you couldnt even come in my room it smelled like a kilo looked like me and two of my boys playing casino trying to sell they peeping my bag they cant afford it tell em to give me back my swag they tryin to clone me see my louis tux louis flag louis frames louis belt what that make me louis mane im in an all white party wearin all black with my new black watch call it the heart attack cardiac arrest cardiac a wrist yeah they say theyre hard they aint hard as this hard the one word describes me if i wasnt doin this you know where i be too hardwhere dem girls talkin trash where dem girls talkin trash where they at where they at where they at where dem bloggers at where dem bloggers at where they at where they at where they at where your lighters at where your lighters at where they at where they at where they at so hard so hard so hard so hardthat i i i im so hard yeah yeah yeah im so hard that i i i im so hardso hard yeah yeah yeah im so hard too hard so hard so hardso hard so hard so hard too hard that i i i 
55,50,Break Your Heart,Taio Cruz,dance pop,2010,122,90,67,-5,8,63,186,0,3,33,10.0, whoa luda now i may not be the worst or the best but you gotta respect my honesty whoa and i may break your heart but i dont really think theres anybody as bomb as me whoa so you can take this chance in the end everybodys gonna be wondering how you deal whoa you might say this is ludacris but taio cruz tell her how you feelnow listen to me baby uh uh oh oh before i love and leave you uh uh oh oh they call me heart breaker uh uh oh oh i dont wanna deceive you uh uh oh oh ohif you fall for me im not easy to please i might tear you apart told you from the start baby from the startim only gonna break break your break break your heartim only gonna break break your break break your heartim only gonna break break your break break your heartim only gonna break break your break break your heart whoa whoatheres no point trying to hide it uh uh oh oh no point trying to evade it uh uh oh oh i know i got a problem uh uh oh oh problem with misbehaving uh uh oh oh ohif you fall for me im not easy to please i might tear you apart told you from the start baby from the startim only gonna break break your break break your heartim only gonna break break your break break your heartim only gonna break break your break break your heartim only gonna break break your break break your heartthats all im gonna do woman whoa listen now im only gonna break your heart and shatter and splatter it all into little bitty pieces whether or not you get it all together then its finders keepers and losers weepers see im not trying to lead you on no im only trying to keep it real whoa you might say this is ludacris but taio cruz tell her how you feeleh and i know karmas gonna get me back for being so cold eh like a big bad wolf im born to be bad and bad to the bone eh if you fall for me im only gonna tear you apart eh told ya from the start ehim only gonna break break your break break your heartim only gonna break break your break break your heartim only gonna break break your break break your heartim only gonna break break your break break your heart whoa whoa whoa whoa 
56,51,Hello,Martin Solveig,big room,2010,128,98,67,-3,10,45,191,1,3,0,35.0, hello its me i was wondering if after all these years youd like to meet to go over everything they say that times supposed to heal ya but i aint done much healinghello can you hear me im in california dreaming about who we used to be when we were younger and free ive forgotten how it felt before the world fell at our feettheres such a difference between us and a million mileshello from the other side i mustve called a thousand times to tell you im sorry for everything that ive done but when i call you never seem to be home    meaning  byjamesg   editor    another popular parody this time by saturday night live showing us how adeles hello is able to keep a family from fighting at thanksgiving    see all   hello from the outside at least i can say that ive tried to tell you im sorry for breaking your heart but it dont matter it clearly doesnt tear you apart anymorehello how are you its so typical of me to talk about myself im sorry i hope that youre well did you ever make it out of that town where nothing ever happenedits no secret that the both of us are running out of timeso hello from the other side other side i mustve called a thousand times thousand times to tell you im sorry for everything that ive done but when i call you never seem to be homehello from the outside outside at least i can say that ive tried ive tried to tell you im sorry for breaking your heart but it dont matter it clearly doesnt tear you apart anymoreoh anymore oh anymore oh anymore anymorehello from the other side other side i mustve called a thousand times thousand times to tell you im sorry for everything that ive done but when i call you never seem to be homehello from the outside outside at least i can say that ive tried ive tried to tell you im sorry for breaking your heart but it dont matter it clearly doesnt tear you apart anymore 
57,52,A Thousand Years,Christina Perri,dance pop,2011,139,41,42,-7,11,16,285,31,3,81,87.0, verse 1 heart beats fast colors and promises how to be brave how can i love when im afraid to fall but watching you stand alone all of my doubt suddenly goes away somehowone step closerchorus i have died every day waiting for you darlin dont be afraid i have loved you for a thousand years ill love you for a thousand moreverse 2 time stands still beauty in all she is i will be brave i will not let anything take away whats standing in front of me every breath every hour has come to thisone step closerchorus i have died every day waiting for you darlin dont be afraid i have loved you for a thousand years ill love you for a thousand moreand all along i believed i would find you time has brought your heart to me i have loved you for a thousand years ill love you for a thousand moreone step closer one step closerchorus i have died every day waiting for you darlin dont be afraid i have loved you for a thousand years ill love you for a thousand moreand all along i believed i would find you time has brought your heart to me i have loved you for a thousand years ill love you for a thousand more 
58,53,Someone Like You,Adele,british soul,2011,135,33,56,-8,10,28,285,89,3,80,24.0, i heard that youre settled down that you found a girl and youre married now i heard that your dreams came true guess she gave you things i didnt give to youold friend why are you so shy aint like you to hold back or hide from the lighti hate to turn up out of the blue uninvited but i couldnt stay away i couldnt fight it i had hoped youd see my face and that youd be reminded that for me it isnt over    meaning  byjamesg   editor    the songs cowriter dan wilson talked about writing the track with adele in an exclusive metrolyrics video interview    see all   never mind ill find someone like you i wish nothing but the best for you two dont forget me i beg i remember you said sometimes it lasts in love but sometimes it hurts instead sometimes it lasts in love but sometimes it hurts insteadyou know how the time flies only yesterday was the time of our lives we were born and raised in a summer haze bound by the surprise of our glory daysi hate to turn up out of the blue uninvited but i couldnt stay away i couldnt fight it i had hoped youd see my face and that youd be reminded that for me it isnt overnever mind ill find someone like you i wish nothing but the best for you two dont forget me i beg i remember you said sometimes it lasts in love but sometimes it hurts instead yeahnothing compares no worries or cares regrets and mistakes theyre memories made who would have known how bittersweet this would tastenever mind ill find someone like you i wish nothing but the best for you dont forget me i beg i remember you said sometimes it lasts in love but sometimes it hurts insteadnever mind ill find someone like you i wish nothing but the best for you two dont forget me i beg i remember you said sometimes it lasts in love but sometimes it hurts instead sometimes it lasts in love but sometimes it hurts instead 
60,54,Give Me Everything,Pitbull,dance pop,2011,129,94,67,-3,30,53,252,19,16,79,5.0, me not working hard yeah right picture that with a kodak or better yet go to times square take a picture of me with a kodak took my life from negative to positive i just want yall know that and tonight lets enjoy life pitbull nayer neyo tell us righttonight i want all of you tonight give me everything tonight for all we know we might not get tomorrow lets do it tonightdont care what they say all the games they play nothing is enough til they handle love lets do it tonighti want you tonight i want you to stay i want you tonightgrab somebody sexy tell em hey give me everything tonight give me everything tonight give me everything tonight give me everything tonighttake advantage of tonight cause tomorrow im also doin bad perform for a princess but tonight i can make you my queen and make love to you endless this is insane the way the name growin money keep flowin hustlers move aside so im tiptoein to keep flowin i got it locked up like lindsay lohanput it on my life baby i make you feel right baby cant promise tomorrow but i promise tonight darlingexcuse me and i might drink a little more than i should tonight and i might take you home with me if i could tonight and baby ima make you feel so good tonight cause we might not get tomorrowtonight i want all of you tonight give me everything tonight for all we know we might not get tomorrow lets do it tonightdont care what they say or what games they play nothing is enough til they handle love lets do it tonighti want you tonight i want you to stay i want you tonightgrab somebody sexy tell em hey give me everything tonight give me everything tonight give me everything tonight give me everything tonightreach for the stars and if you dont grab em at least youll fall on top of the world think about it cause if you slip im gon fall on top yo girl ha ha hawhat im involved with is deeper than the mazes baby baby and it aint no secret my grammys from cuba but im an american and i dont get money like seacrestput it on my life baby i make you feel right baby cant promise tomorrow but i promise tonight daleexcuse me but i might drink a little bit more than i should tonight and i might take you home with me if i could tonight and baby ima make you feel so good tonight cause we might not get tomorrowtonight i want all of you tonight give me everything tonight for all we know we might not get tomorrow lets do it tonightdont care what they say all the games they play nothing is enough til they handle love lets do it tonighti want you tonight i want you to stay i want you tonightgrab somebody sexy tell em hey give me everything tonight give me everything tonight give me everything tonight give me everything tonightexcuse me but i might drink a little bit more than i should tonight and i might take you home with me if i could tonight and baby ima make you feel so good tonight cause we might not get tomorrow 
63,56,Rolling in the Deep,Adele,british soul,2011,105,76,73,-5,5,52,228,13,3,76,1.0, theres a fire starting in my heart reaching a fever pitch its bringing me out the dark finally i can see you crystal clear clean version go head and sell me out and ill lay your ship bare explicit version go head and sell me out and ill lay your shit bare see how i leave with every piece of you dont underestimate the things that i will dotheres a fire starting in my heart reaching a fever pitch and its bringing me out the darkthe scars of your love remind me of us they keep me thinking that we almost had it all the scars of your love they leave me breathless i cant help feeling we could have had it all youre gonna wish you never had met me rolling in the deep tears are gonna fall rolling in the deep you had my heart inside of your hand youre gonna wish you never had met me and you played it to the beat tears are gonna fall rolling in the deepbaby i have no story to be told but ive heard one on you and im gonna make your head burn think of me in the depths of your despair make a home down there as mine sure wont be sharedyoure gonna wish you never had met me the scars of your love remind me of us tears are gonna fall rolling in the deep they keep me thinking that we almost had it all youre gonna wish you never had met me the scars of your love they leave me breathless tears are gonna fall rolling in the deep i cant help feeling we could have had it all youre gonna wish you never had met me rolling in the deep tears are gonna fall rolling in the deep you had my heart inside of your hand youre gonna wish you never had met me and you played it to the beat tears are gonna fall rolling in the deep we could have had it all rolling in the deep you had my heart inside of your hand but you played it with a beatingthrow your soul through every open door woah count your blessings to find what you look for woah turn my sorrow into treasured gold woah youll pay me back in kind and reap just what you sow woah youre gonna wish you never had met me we could have had it all tears are gonna fall rolling in the deep we could have had it all youre gonna wish you never had met me it all it all it all tears are gonna fall rolling in the deepwe could have had it all youre gonna wish you never had met me rolling in the deep tears are gonna fall rolling in the deep you had my heart inside of your hand youre gonna wish you never had met me and you played it to the beat tears are gonna fall rolling in the deepwe could have had it all youre gonna wish you never had met me rolling in the deep tears are gonna fall rolling in the deep you had my heart inside of your hand youre gonna wish you never had met mebut you played it you played it you played it you played it to the beat 
68,60,Grenade,Bruno Mars,pop,2011,110,56,71,-7,12,23,223,15,6,75,6.0, easy come easy go thats just how you live oh take take take it all but you never give shouldve known you was trouble from the first kiss had your eyes wide open why were they opengave you all i had and you tossed it in the trash you tossed it in the trash you did to give me all your love is all i ever asked causewhat you dont understand is id catch a grenade for ya throw my hand on a blade for ya id jump in front of a train for ya you know id do anything for ya oh oh oh oh ohi would go through all this pain take a bullet straight right through my brain yes i would die for you baby but you wont do the sameno no no noblack black black and blue beat me til im numb tell the devil i said hey when you get back to where youre from mad woman bad woman thats just what you are yeah youll smile in my face then rip the brakes out my cargave you all i had and you tossed it in the trash you tossed it in the trash yes you did to give me all your love is all i ever asked causewhat you dont understand is id catch a grenade for ya throw my hand on a blade for ya id jump in front of a train for ya you know id do anything for ya oooh i would go through all this pain take a bullet straight right through my brain yes i would die for ya baby but you wont do the sameif my body was on fire ooh youd watch me burn down in flames you said you loved me youre a liar cause you never ever ever did babybut darling id still catch a grenade for ya throw my hand on a blade for ya id jump in front of a train for ya you know id do anything for yai would go through all this pain take a bullet straight right through my brain yes i would die for you baby but you wont do the sameno you wont do the same you wouldnt do the same ooh you never do the same no no no no 
69,61,Tonight Tonight,Hot Chelle Rae,dance pop,2011,100,78,69,-5,16,81,200,8,12,75,32.0, its been a really really messed up week seven days of torture seven days of bitter and my girlfriend went and cheating on me shes a california dime but its time for me to quit herla la la whatever la la la it doesnt matter la la la oh well la la lawere goin at it tonight tonight theres a party on the rooftop top of the world tonight tonight and were dancin on the edge of the hollywood signi dont know if ill make it but watch how good ill fake it its all right all right tonight tonighti woke up with a strange tattoo not sure how i got it not a dollar in my pocket and it kinda looks just like you mixed with zach galifianakisla la la whatever la la la it doesnt matter la la la oh well la la lawere goin at it tonight tonight theres a party on the rooftop top of the world tonight tonight and were dancin on the edge of the hollywood signi dont know if ill make it but watch how good ill fake it its all right all right tonight tonightyou got me singin like whoa come on oh it doesnt matter whoa everybody now ohjust dont stop lets keep the beat pumpin keep the beat up lets drop the beat down its my party dance if i want to we can get crazy let it all outjust dont stop lets keep the beat pumpin keep the beat up lets drop the beat down its my party dance if i want to we can get crazy let it all outits you and me and were runnin this town and its me and you and were shakin the ground and aint nobody gonna tell us to go cause this is our showeverybody whoa come on oh all you animals whoa let me hear you now ohtonight tonight theres a party on the rooftop top of the world tonight tonight and were dancin on the edge of the hollywood signi dont know if ill make it but watch how good ill fake it its all right all right tonight tonight its all right all right tonight tonight yeah its all right all right tonight tonightjust singin like whoa come on oh all you party people whoa all you singletons oh even the white kidsjust dont stop lets keep the beat pumpin keep the beat up lets drop the beat down its my party dance if i want to we can get crazy let it all out 
70,62,What the Hell,Avril Lavigne,canadian pop,2011,150,93,58,-4,14,88,221,0,5,74,62.0, you say that im messing with your head yeah yeah yeah yeah all cause i was making out with your friend yeah yeah yeah yeah love hurts whether its right or wrong yeah yeah yeah yeah i cant stop cause im having too much fun yeah yeah yeah yeahyoure on your knees begging please stay with me but honestly i just need to be a little crazyall my life ive been good but now whoa im thinking what the hell all i want is to mess around and i dont really care about if you love me if you hate me you cant save me baby baby all my life ive been good but now whoa what the hellso what if i go out on a million dates yeah yeah yeah yeah you never call or listen to me anyway yeah yeah yeah yeah id rather rage than sit around and wait all day yeah yeah yeah yeah dont get me wrong i just need some time to playyoure on your knees begging please stay with me but honestly i just need to be a little crazyall my life ive been good but now im thinking what the hell all i want is to mess around and i dont really care aboutif you love me if you hate me you cant save me baby baby all my life ive been good but now whoa what the hellla la la la la la la la whoa whoa la la la la la la la la whoa whoayou say that im messing with your head boy i like messing in your bed yeah i am messing with your head when im messing with you in bedall my life ive been good but now oh im thinking what the hell all i want is to mess around and i dont really care about all my life ive been good but now oh im thinking what the hell all i want is to mess around and i dont really care about if you love me if you hate me you cant save me baby baby all my life ive been good but now whoa what the hellla la la la la la la la la la la la la la la la la 
71,63,Born This Way,Lady Gaga,dance pop,2011,124,83,59,-5,33,49,260,0,16,73,18.0, it doesnt matter if you love him or capital him just put your paws up cause you were born this way babymy mama told me when i was young we are all born superstars she rolled my hair and put my lipstick on in the glass of her boudoirtheres nothin wrong with lovin who you are she said cause he made you perfect babe so hold your head up girl and youll go far listen to me when i sayim beautiful in my way cause god makes no mistakes im on the right track baby i was born this waydont hide yourself in regret just love yourself and youre set im on the right track baby i was born this way born this wayooh there aint no other way baby i was born this way baby i was born this way ooh there aint no other way baby i was born this way im on the right track baby i was born this waydont be a drag just be a queen dont be a drag just be a queen dont be a drag just be a queen dont begive yourself prudence and love your friends subway kid rejoice of truth in the religion of the insecure i must be myself respect my youtha different lover is not a sin believe capital him i love my life i love this record and mi amore vole fe yahim beautiful in my way cause god makes no mistakes im on the right track baby i was born this waydont hide yourself in regret just love yourself and youre set im on the right track baby i was born this wayooh there aint no other way baby i was born this way baby i was born this way ooh there aint no other way baby i was born this way im on the right track baby i was born this waydont be drag just be a queen whether youre broke or evergreen youre black white beige chola descent youre lebanese youre orientwhether lifes disabilities left you outcast bullied or teased rejoice and love yourself today cause baby you were born this wayno matter gay straight or bi lesbian transgendered life im on the right track baby i was born to surviveno matter black white or beige chola or orient made im on the right track baby i was born to be braveim beautiful in my way cause god makes no mistakes im on the right track baby i was born this waydont hide yourself in regret just love yourself and youre set im on the right track baby i was born this way yeahooh there aint no other way baby i was born this way baby i was born this way ooh there aint no other way baby i was born this way im on the right track baby i was born this way i was born this way hey i was born this way hey im on the right track baby i was born this way heyi was born this way hey i was born this way hey im on the right track baby i was born this way hey 
74,66,Best Thing I Never Had,Beyonc�,dance pop,2011,99,65,55,-4,9,30,254,14,3,73,86.0,what goes around comes back around hey my baby what goes around comes back around hey my baby i say what goes around comes back around hey my baby what goes around comes back around there was a time i thought that you did everything right no lies no wrong boy i mustve been outta my mind so when i think of the time that i almost loved you you showed your ass and i i saw the real you thank god you blew it i thank god i dodged a bullet im so over you so baby good looking out i wanted you bad im so through with it cause honestly you turned out to be the best thing i never had you turned out to be the best thing i never had and im gon always be the best thing youve never had oh yeah i bet it sucks to be you right now so sad youre hurt boo hoo oh did you expect me to care you dont deserve my tears i guess thats why they aint there when i think that there was a time that i almost loved you you showed your ass and baby yes i saw the real you thank god you blew it i thank god i dodged a bullet im so over you baby good lookin out i wanted you bad im so through with it cause honestly you turned out to be the best thing i never had said you turned out to be the best thing i never had hmm and ill never be the best thing youve never had oh baby i bet sucks to be you right now i know you want me back its time to face the facts that im the one thats got away lord knows that it would take another place another time another world another life thank god i found the good in goodbye i used to want you so bad so through with that cause honestly you turned out to be the best thing i never had oh you turned out to be the best thing i never had and i will always be the best thing you never had ooh best thing you never had i used to want you so bad im so through with that cause honestly you turned out to be the best thing i never had oh you turned out to be the best thing i never had oh i will never be the best thing you never had oh baby i bet it sucks to be you right now what goes around comes back around what goes around comes back around   i bet it sucks to be you right now what goes around comes back around   i bet it sucks to be you right now what goes around comes back around   i bet it sucks to be you right now
75,67,Party Rock Anthem,LMFAO,dance pop,2011,130,74,75,-4,27,35,262,2,16,72,2.0, party rock yeah woo lets goparty rock is in the house tonight everybody just have a good time and we gonna make you lose your mind everybody just have a good timeparty rock is in the house tonight everybody just have a good time and we gonna make you lose your mind we just wanna see ya shake that ass in the club party rock lookin for your girl she on the top nonstop when we in the spot party movin like its on the block where the dance i gots to know tight jeans cool shoes cause im rock n roll half black half white domino game the money opadoeyo im runnin through these streets like drano i got that devilish flow rock n roll no halo we party rock yeah thats the crew that im with on the rise to the top no lead in our zeppelin heyparty rock is in the house tonight everybody just have a good time and we gonna make you lose your mind everybody just have a good timeparty rock is in the house tonight everybody just have a good time and we gonna make you lose your mind we just wanna see ya shake thateveryday im shufflin shufflin shufflinstep up fast and be the first one to make me blow this cash we gettin money dont be mad now stop hating is badone more shot for us another round please fill up my cup dont mess around we just wanna see you shake it now now you wanna be youre shakin nowget up get down put your hands up to the sound get up get down put your hands up to the sound get up get down put your hands up to the sound put your hands up to the sound put your hands up to the soundget up get up get up get up get up get up get up get up get up put your hands up to the sound to the sound put your hands up put your hands up put your hands up put your hands upparty rock is in the house tonight put your hands up everybody just have a good time put your hands up and we gonna make you lose your mind put your hands up everybody just have a good good good timeput your hands up put your hands up put your hands up shake that everyday im shufflinpush up push up push up push up push up push up push up push up push up push up 
77,68,We R Who We R,Kesha,dance pop,2011,120,82,74,-5,12,65,205,1,4,72,30.0, hot and dangerous if youre one of us then roll with us cause we make the hipsters fall in love when weve got our hot pants on and up and yes of course we does we running this town just like a club and no you dont wanna mess with us got jesus on my necklaceaceaceive got that glitter on my eyes stockings ripped all up the side looking sick and sexified so lets gooo lets gotonight were going har harhar hahahard just like the world is our ourour ourourours were tearin it apart partpart papapart you know were superstars we are who we are were dancing like were dum dumdum dumdumdumb our bodies goin num numnum numnumnumb well be forever young younyoun younyounyoung you know were superstars we are who we aredj turn it up its about damn time to live it up im so sick of being so serious its making my brain delirious im just talkin truth im telling you bout the shit we do were sellin our clothes sleepin in cars dressin it down hittin on dudes hardgot that glitter on my eyes stockings ripped all up the side looking sick and sexified so lets gooo lets gotonight were going har harhar hahahard just like the world is our ourour ourourours were tearin it apart partpart papapart you know were superstars we are who we are were dancing like were dum dumdum dumdumdumb our bodies go num numnum numnumnumb well be forever young younyoun younyounyoung you know were superstars we are who we aredj turn it upupupupupupup dj turn it upupupupupupup dj turn it upupupupupupup dj turn it upupupupupupuptonight were going har harhar hahahard just like the world is our ourour ourourours were tearin it apart partpart papapart you know were superstars we are who we are were dancing like were dum dumdum dumdumdumb our bodies go num numnum numnumnumb well be forever young younyoun younyounyoung you know were superstars we are who we are ow 
78,69,Price Tag,Jessie J,australian pop,2011,175,83,64,-4,27,68,223,3,18,72,93.0, coconut man moon head and pea you readyseems like everybodys got a price i wonder how they sleep at night when the sale comes first and the truth comes second just stop for a minute and smile why is everybody so serious acting so damn mysterious got shades on your eyes and your heels so high that you cant even have a good timeeverybody look to their left everybody look to their right can you feel that yeah were paying with love tonight its not about the money money money we dont need your money money money we just wanna make the world dance forget about the price tag aint about the uh chaching chaching aint about the yeah bbling bbling wanna make the world dance forget about the price tag    meaning  byamandah   editor    time and time again jessie j has explained in interviews that price tag should not be seen as hypocritical as she is a rich pop star telling other to not    see all   we need to take it back in time when music made us all unite and it wasnt low blows and video hoes am i the only the one getting tired why is everybody so obsessed money cant buy us happiness can we all slow down and enjoy right now guarantee well be feeling alrighteverybody look to their left everybody look to their right can you feel yeah were paying with love tonightits not about the money money money we dont need your money money money we just wanna make the world dance forget about the price tag aint about the uh chaching chaching aint about the yeah bbling bbling wanna make the world dance forget about the price tagwell keep the price tag and take the cash back just give me six strings and a half stack and you can can keep the cars leave me the garage and all i yes all i need are keys and guitars and guess what in thirty seconds im leaving to mars yeah we leaping across these undefeatable odds its like this man you cant put a price on the life we do this for the love so we fight and sacrifice every night so we aint gonna stumble and fall never waiting to see us in a sign of defeat uh uh so we gonna keep everyone moving they feet so bring back the beat and then everyone sing its not about the moneyits not about the money money money we dont need your money money money we just wanna make the world dance forget about the price tag aint about the uh chaching chaching aint about the yeah bbling bbling wanna make the world dance forget about the price tagyeah yeah forgot the price tag 
79,70,Good Life,OneRepublic,dance pop,2011,95,69,63,-8,13,65,253,8,5,72,25.0, woke up in london yesterday found myself in the city near piccadilly dont really know how i got here i got some pictures on my phonenew names and numbers that i dont know address to places like abbey road day turns to night night turns to whatever we want were young enough to sayoh this has gotta be the good life this has gotta be the good life this could really be a good life good lifesay oh got this feeling that you cant fight like this city is on fire tonight this could really be a good life a good good lifeoh oh oh oh oh oh ohto my friends in new york i say hello my friends in la they dont know where ive been for the past few years or so from paris to china to coloradosometimes theres airplanes i cant jump out sometimes theres bullshit that dont work now we all got our stories but please tell me what there is to complain aboutwhen youre happy like a fool let it take you over when everything is out you gotta take it inoh this has gotta be the good life this has gotta be the good life this could really be a good life good lifesay oh got this feeling that you cant fight like this city is on fire tonight this could really be a good life a good good lifeoh oh oh oh oh oh oh a good good life oh oh oh oh oh oh ohhopelessly i feel like like there might be something that ill miss hopelessly i feel like the window closes oh so quick hopelessly im taking a mental picture of you now cause hopelessly the hope is we have so much to feel good aboutoh this has gotta be the good life this has gotta be the good life this could really be a good life good lifesay oh got this feeling that you cant fight like this city is on fire tonight this could really be a good life oh yeah a good good lifeoh oh oh oh oh oh oh oh yeah a good good life good life oh oh oh oh oh oh oh whoah woah listento my friends in new york i say hello my friends in la they dont know where ive been for the past few years or so from paris to china to coloradosometimes theres airplanes i cant jump out sometimes theres bullshit that dont work now we all got our stories but please tell me what there is to complain about 
80,71,Just Can�t Get Enough,The Black Eyed Peas,dance pop,2011,94,63,66,-9,11,26,219,19,18,71,10.0, boy i think about it every night and day im addicted wanna jump inside your love i wouldnt wanna have it any other way im addicted and i just cant get enoughi just cant get enough i just cant get enough i just cant get enough i just cant get enoughhoney got a sexy all steamin she givin hotness a new meanin perfection mama you gleamin inception you got a brother dreamin dreamindamn baby im feignin im tryna holler at you im screamin let me love you down this evenin love you love you ya you know you are my demongirl we could form a team and i could be the king you could be the queen and my minds dirty and it dont need cleanin i love you long time so you know the meaninoh baby i cant come down so please come help me out you got me feelin high and i cant step off the cloud and i just cant get enoughboy i think about it every night and day im addicted wanna drown inside your love i wouldnt wanna have it any other way im addicted and i just cant get enoughi just cant get enough i just cant get enough i just cant get enough i just cant get enoughhoney got me runnin like im flo joe signs her name on my heart with an xo loves so sweet got me vexed oh i wanna wish it right back like presto yesmeantime i wait for the next time she come around fore i toast to the best time we lol back and forth on the text line she got me fishin for her love i confess imsomethin bout her smile and that combo got me high and i aint comin down yo my hearts pumpin out louder than electro she got me feelin like mr robotooh baby i cant come down so please come help me out you got me feelin high and i cant step off the cloud and i just cant get enoughboy i think about it every night and day im addicted wanna drown inside your love i wouldnt wanna have it any other way im addicted and i just cant get enoughthis has been a switch up switch up switch up i just cant not sunk in your bed rock caught up in your love shock knocked out by your cold shot im stuck in your head li switch up cant get out wont quit makin me feign give it to me i want it all know what i mean your love is a dose of ecstasy switch up addicted i cant get away from you afflicted i need it i miss it it switch up i want your lovin right next to me and i cant erase ya out of my memory i just cant switch up 
81,72,On The Floor,Jennifer Lopez,dance pop,2011,130,78,73,-5,7,57,285,11,5,69,11.0, jlo ya tu sabes its a new generation mr worldwide of party people get on the floor dale get on the floor red onelet me introduce you to my party people in the club huhim loose loose and everybody knows i get off the chain baby its the truth its the truth im like inception i play with your brain so dont sleep or snooze i dont play no games so dont dont dont dont get it confused no cause you will lose yeah now no pupupupupump it up and back it up like a tonka truck daleif you go hard you gotta get on the floor if youre a party freak then step on the floor if youre an animal then tear up the floor break a sweat on the floor yeah we work on the floordont stop keep it movin put your drinks up pick your body up and drop it on the floor let the rhythm change your world on the floor you know were running shit tonight on the floor brazil morocco london to ibiza straight to la new york vegas to africadance the night away live your life and stay young on the floor dance the night way grab somebody drink a little more as�_ me gusta as�_ me gusta as�_ me gusta la la la la la la la la la la la la la la tonight we gon be it on the floor la la la la la la la la la la la la la la tonight we gon be it on the floori know you got it clap your hands on the floor and keep on rockin rock it up on the floor if youre a criminal kill it on the floor steal it quick on the floor on the floor dont stop keep it movin put your drinks upits getting ill its getting sick on the floor we never quit we never rest on the floor if i aint wrong wed probably die on the floor brazil morocco london to ibiza straight to la new york vegas to africadance the night away live your life and stay young on the floor dance the night way grab somebody drink a little more as�_ me gusta as�_ me gusta as�_ me gusta la la la la la la la la la la la la la la tonight we gon be it on the floor la la la la la la la la la la la la la la tonight we gon be it on the floorthat badonka donk is like a trunk full of bass on an old school chevy seven tray donkey donk all i need is some vodka some chonky konk and watch and she gon get donkey kong baby if youre ready for things to get heavy i get on the floor and act a fool if you let me dale dont believe me just bet me my name aint keith but i see why you sweat me la miami new york say no more get on the floorla la la la la la la la la la la la la la tonight we gon be it on the floor la la la la la la la la la la la la la la tonight we gon be it on the floor la la la la la la la la la la la la la la tonight we gon be it on the floor 
